
_______________________________________________
Andrei Popescu
						Pictura pe sticla
						Pictura pe ceramica
_______________________________________________
John Doe
						Povesti creative
						Pictura pe sticla
						Construim casute pentru pasari
						Pictura pe ceramica
						Plantarea semintelor de flori
_______________________________________________
Maria Ionas
						Pictura pe sticla
						Pian
						Instrumente neconventionale
						Imprimare
_______________________________________________
Mihai Rusu
						Povesti creative
						Pian
						Construim casute pentru pasari
_______________________________________________
Ioana Artean
						Construim casute pentru pasari
						Pictura pe ceramica
